,TripID,VehicleID,ChargeType,Location,SoCStart,SoCEnd,dE,Pmax,t0,t1,t2,lbd
3543,2012077439,2012002743,home,627,0.1879532053804952,0.9998361817576094,32.47531905508456,3.7,32.0,556.8502171642541,995.0,0.013553100058347901
1755,2011218524,2011008010,home,305,0.11875000000000009,1.0,35.24999999999999,3.7,90.0,665.8599508599508,6390.0,0.013553100058347901
2955,2012230585,2012008256,home,533,0.11875,0.963452674264752,33.78810697059008,3.7,330.0,905.8599508599508,980.0,0.013553100058347901
864,2014090417,2014003227,home,120,0.2086622417079326,0.9901604986851267,31.25993027908776,3.7,355.0,864.5855712226542,1035.0,0.013553100058347901
2921,2008074367,2008002577,home,525,0.119,0.3225,8.14,3.7,420.0,995.6756756756756,570.0,0.013553100058347901
1125,2016109979,2016004143,home,177,0.767900634159771,1.0,9.283974633609162,3.7,450.0,547.3705399313728,1920.0,0.013553100058347901
3465,2009209038,2009007332,home,606,0.2619874053104252,0.9683484082164032,28.254440116239117,3.7,465.0,935.2795538252394,1020.0,0.013553100058347901
1564,2005115448,2005003863,home,276,0.5164563550869696,0.5503730217536362,1.3566666666666667,3.7,465.0,747.710303375698,490.0,0.013553100058347901
71,2006108011,2006003686,home,10,0.4576332564747762,0.9114119793518325,18.151148915082253,3.7,495.0,821.0688527212951,830.0,0.013553100058347901
3525,2009028914,2009001073,home,625,0.18587361176902692,0.7081902784356936,20.892666666666667,3.7,500.0,1026.3830871481373,885.0,0.013553100058347901
1825,2005320798,2005011153,home,325,0.11875,0.9906499255007416,34.875997020029665,3.7,510.0,1085.859950859951,1260.0,0.013553100058347901
3393,2011062307,2011002296,home,596,0.3665226470859616,0.4940493137526283,5.101066666666667,3.7,511.0,904.2265500594879,605.0,0.013553100058347901
334,2009032713,2009001203,home,42,0.6261784396590984,0.8608817729924316,9.388133333333334,3.7,513.0,714.8340739613526,686.0,0.013553100058347901
126,2015152478,2015006392,home,16,0.2613097354734305,0.7904097354734305,21.164,3.7,525.0,995.7790647615991,915.0,0.013553100058347901
11,2011022971,2011000810,home,1,0.739675913616674,0.99758553602008,10.316384896136242,3.7,530.0,648.1750022481519,920.0,0.013553100058347901
1540,2005105418,2005003551,home,270,0.3046833446820189,0.40372001134868557,3.961466666666667,3.7,531.0,969.8083454432293,604.0,0.013553100058347901
1518,2015060451,2015002228,home,265,0.3258282594132663,0.9944259094636457,26.74390600201518,3.7,535.0,958.2224132088945,1170.0,0.013553100058347901
3337,2011105432,2011003922,home,584,0.5389678841111831,0.9970210832401379,18.322127965158195,3.7,536.0,802.1170387386857,1059.0,0.013553100058347901
1243,2009040905,2009001483,home,190,0.48368374411560255,1.0,20.652650235375898,3.7,539.0,845.8670190794085,2205.0,0.013553100058347901
2616,2004087830,2004002743,home,470,0.16898863347095552,0.570561966804289,16.062933333333334,3.7,540.0,1078.8290170975756,836.0,0.013553100058347901
1562,2015125629,2015005338,home,275,0.1976477580599215,1.0,32.09408967760314,3.7,545.0,1062.704355238387,1960.0,0.013553100058347901
282,2007174985,2007006150,home,37,0.2975444182515315,0.3178944182515315,0.8140000000000001,3.7,545.0,989.0704533772495,560.0,0.013553100058347901
1697,2011015789,2011000550,home,293,0.33967040460712855,0.5363870712737953,7.868666666666667,3.7,545.0,958.0193577834434,690.0,0.013553100058347901
1333,2004229198,2004007325,home,217,0.6585968745427087,0.6585968745427087,0.0,3.7,545.0,722.9384217129912,545.0,0.013553100058347901
1551,2013207506,2013008133,home,272,0.119,0.7634166666666667,25.776666666666667,3.7,550.0,1125.6756756756756,1025.0,0.013553100058347901
2020,2006173673,2006006028,home,356,0.3075901261060663,0.3754234594393996,2.7133333333333334,3.7,550.0,986.6657547129732,600.0,0.013553100058347901
789,2003216016,2003007052,home,102,0.3646738248259281,1.0,25.413047006962877,3.7,560.0,954.5893183101266,1830.0,0.013553100058347901
1818,2007063387,2007002188,home,324,0.27701284847704466,0.8563095151437115,23.17186666666667,3.7,563.0,1022.204288591859,990.0,0.013553100058347901
2810,2004033238,2004001009,home,514,0.7425374694831081,0.9633503153209212,8.832513833512522,3.7,595.0,711.0657473097484,785.0,0.013553100058347901
2147,2004065760,2004002061,home,385,0.5993109420895328,0.6237309420895328,0.9768000000000001,3.7,612.0,833.6381262239315,630.0,0.013553100058347901
600,2005314380,2005010872,home,75,0.4128049614304801,0.6244449614304802,8.4656,3.7,626.0,985.1118220414152,782.0,0.013553100058347901
1070,2012070676,2012002488,home,165,0.29419376299684735,1.0,28.232249480126104,3.7,630.0,1076.5402238352476,3415.0,0.013553100058347901
1399,2012011839,2012000427,home,236,0.4635752446634853,0.9604400258717078,19.874591248328894,3.7,630.0,951.6890088475539,1020.0,0.013553100058347901
2328,2016124822,2016004748,home,412,0.5833828919619787,0.6240828919619787,1.6280000000000001,3.7,630.0,863.3787037135291,660.0,0.013553100058347901
1770,2007229669,2007008192,home,310,0.282477888057973,1.0,28.70088447768108,3.7,630.0,1085.176003888472,1935.0,0.013553100058347901
2697,2013118193,2013004887,home,477,0.12806407538173864,0.37226407538173867,9.768,3.7,630.0,1198.9945390306593,810.0,0.013553100058347901
1231,2007008983,2007000293,home,187,0.25337278421474424,1.0,29.86508863141023,3.7,650.0,1126.6293973847094,2235.0,0.013553100058347901
2148,2004065762,2004002061,home,385,0.6223630030895327,0.7987296697561994,7.054666666666667,3.7,653.0,857.6464350691405,783.0,0.013553100058347901
708,2008231761,2008008129,home,88,0.4409856136193615,0.96321354186007,20.889117129628342,3.7,660.0,998.3398425410112,1072.0,0.013553100058347901
1105,2004256931,2004008262,home,176,0.11875000000000002,0.1323166666666667,0.5426666666666667,3.7,660.0,1235.859950859951,670.0,0.013553100058347901
685,2008230281,2008008081,home,85,0.35470506856424827,0.6870884018975817,13.295333333333334,3.7,665.0,1066.9372958985887,910.0,0.013553100058347901
284,2007174988,2007006150,home,37,0.39785624825153143,1.0,24.085750069938744,3.7,670.0,1040.1305295443258,1910.0,0.013553100058347901
66,2009120556,2009004289,home,9,0.19508487690705767,1.0,32.19660492371769,3.7,672.0,1191.5934568252646,1920.0,0.013553100058347901
1987,2008011233,2008000397,home,353,0.7890855034527525,1.0,8.4365798618899,3.7,675.0,756.7551571601333,4860.0,0.013553100058347901
1751,2008095246,2008003304,home,305,0.36428350752146377,1.0,25.42865969914145,3.7,685.0,1079.8770214829506,2130.0,0.013553100058347901
719,2016217122,2016008408,home,91,0.11875,0.5935833333333334,18.993333333333336,3.7,685.0,1260.859950859951,1035.0,0.013553100058347901
2532,2016062671,2016002377,home,452,0.46759657355054896,1.0,21.296137057978044,3.7,690.0,1008.7248843607747,4850.0,0.013553100058347901
325,2007063819,2007002201,home,42,0.3493479919871998,0.9174279947007762,22.723200108543054,3.7,690.0,1095.886000992236,1110.0,0.013553100058347901
1172,2013238810,2013009326,home,181,0.326551525,1.0,26.937939,3.7,690.0,1112.6892936117936,3780.0,0.013553100058347901
2351,2013097297,2013004022,home,418,0.119,1.0,35.24,3.7,690.0,1265.6756756756756,2400.0,0.013553100058347901
218,2007196201,2007006918,home,29,0.6574729178788288,1.0,13.701083284846849,3.7,690.0,868.7668909984063,1900.0,0.013553100058347901
2858,2013057921,2013002169,home,519,0.6160721592203711,0.8534888258870378,9.496666666666668,3.7,695.0,904.2834207220852,870.0,0.013553100058347901
158,2005310275,2005010720,home,21,0.7118693263072845,0.7797026596406178,2.7133333333333334,3.7,700.0,838.6712582501589,750.0,0.013553100058347901
3554,2007064681,2007002229,home,630,0.48825730016568875,0.7731573001656888,11.396,3.7,700.0,1003.4958475437184,910.0,0.013553100058347901
1470,2013050957,2013001893,home,248,0.520526027456834,1.0,19.17895890172664,3.7,705.0,984.7105448721126,2040.0,0.013553100058347901
3612,2014043753,2014001550,home,639,0.6496471076837881,0.9887255705610251,13.563138515089484,3.7,705.0,889.5353014615813,1050.0,0.013553100058347901
2793,2008018833,2008000669,home,509,0.1695898697492173,1.0,33.21640521003131,3.7,710.0,1248.3858453936973,2060.0,0.013553100058347901
1319,2006156553,2006005369,home,211,0.37113470926697767,0.5475013759336443,7.054666666666667,3.7,710.0,1099.8269956263064,840.0,0.013553100058347901
94,2013058060,2013002174,home,12,0.5706217830500405,1.0,17.17512867799838,3.7,710.0,952.7849264987417,1830.0,0.013553100058347901
265,2008099148,2008003414,home,31,0.6092658858166364,1.0,15.629364567334543,3.7,711.0,925.3003298648871,2025.0,0.013553100058347901
1377,2014203875,2014007374,home,234,0.28656757544241873,0.45615090877575215,6.783333333333334,3.7,715.0,1167.1614923028853,840.0,0.013553100058347901
2824,2006306748,2006010846,home,515,0.3449561,1.0,26.201756,3.7,720.0,1129.1232678132678,2100.0,0.013553100058347901
437,2015198663,2015008178,home,46,0.35923237014857484,1.0,25.630705194057004,3.7,720.0,1118.600218563704,2055.0,0.013553100058347901
3319,2007051845,2007001787,home,583,0.11875,0.27476666666666666,6.240666666666667,3.7,735.0,1310.859950859951,850.0,0.013553100058347901
3686,2013149611,2013006077,home,649,0.5766903838224259,0.7327070504890926,6.240666666666667,3.7,737.0,975.3117563962463,852.0,0.013553100058347901
83,2014130248,2014004645,home,12,0.1461672246089318,0.25470055794226515,4.341333333333334,3.7,740.0,1295.6506943914508,820.0,0.013553100058347901
2651,2013049205,2013001824,home,471,0.3739510893280221,0.5706677559946888,7.868666666666667,3.7,740.0,1127.7510398073546,885.0,0.013553100058347901
3616,2002078823,2002003004,home,643,0.42443279337705375,0.4990494600437204,2.984666666666667,3.7,750.0,1100.5409385427122,805.0,0.013553100058347901
1192,2002028263,2002001008,home,183,0.14646139926122986,0.15460139926122984,0.3256,3.7,750.0,1305.4338580384056,756.0,0.013553100058347901
3120,2009167988,2009005915,home,561,0.33564590189502536,0.398052568561692,2.496266666666667,3.7,755.0,1170.9858216989985,801.0,0.013553100058347901
3732,2006140939,2006004766,home,663,0.2339185824129358,1.0,30.643256703482567,3.7,755.0,1245.9691038725289,4840.0,0.013553100058347901
969,2007266124,2007009457,home,151,0.29207158541070233,0.5023549187440357,8.411333333333333,3.7,765.0,1213.1044824982537,920.0,0.013553100058347901
2899,2002179271,2002006656,home,522,0.30304379034192647,0.4861937903419265,7.3260000000000005,3.7,765.0,1205.0168621558282,900.0,0.013553100058347901
1316,2003133394,2003004164,home,209,0.6167511416052829,1.0,15.329954335788685,3.7,770.0,978.7829423056883,1860.0,0.013553100058347901
3467,2003260647,2003008563,home,606,0.3965615915339597,0.8035615915339598,16.28,3.7,770.0,1141.0848219651402,1070.0,0.013553100058347901
175,2005064942,2005002099,home,22,0.11875,1.0,35.25,3.7,780.0,1355.859950859951,6360.0,0.013553100058347901
1203,2014226072,2014008207,home,183,0.4307771074339203,1.0,22.768915702643188,3.7,790.0,1135.8645399749973,1920.0,0.013553100058347901
504,2007208444,2007007393,home,58,0.525912315377311,0.6547956487106443,5.155333333333334,3.7,790.0,1065.7403080756922,885.0,0.013553100058347901
954,2003183003,2003005905,home,150,0.613146571917707,1.0,15.474137123291719,3.7,791.0,1002.4398732793314,2005.0,0.013553100058347901
1857,2008267146,2008009393,home,328,0.11875,1.0,35.25,3.7,791.0,1366.859950859951,2060.0,0.013553100058347901
1194,2002028266,2002001008,home,183,0.18248231426122982,0.3317156475945632,5.969333333333334,3.7,794.0,1322.8828150408626,904.0,0.013553100058347901
3364,2008063047,2008002158,home,592,0.244926571597137,0.32632657159713696,3.2560000000000002,3.7,795.0,1277.8551069308573,855.0,0.013553100058347901
2910,2013086793,2013003474,home,524,0.7691913142328468,1.0,9.232347430686128,3.7,800.0,896.4191786981473,1950.0,0.013553100058347901
2777,2013086793,2013003474,home,501,0.4947245533333333,1.0,20.211017866666666,3.7,800.0,1098.7288304668305,1950.0,0.013553100058347901
2463,2003178131,2003005690,home,436,0.11875,1.0,35.25,3.7,800.0,1375.859950859951,5100.0,0.013553100058347901
3163,2016040045,2016001503,home,567,0.38131963868919055,1.0,24.747214452432374,3.7,805.0,1187.3196766418744,2370.0,0.013553100058347901
319,2006149497,2006005094,home,42,0.32786555359398284,0.37534888692731616,1.8993333333333335,3.7,810.0,1231.7207221665974,845.0,0.013553100058347901
1428,2010105714,2010003707,home,238,0.11875,1.0,35.25,3.7,810.0,1385.859950859951,8040.0,0.013553100058347901
1594,2009205743,2009007226,home,282,0.49715610227397744,1.0,20.113755909040904,3.7,810.0,1106.9365339503852,1845.0,0.013553100058347901
3716,2011271731,2011009973,home,654,0.5455552163732159,1.0,18.177791345071363,3.7,811.0,1072.2615112728138,1933.0,0.013553100058347901
2467,2005062484,2005002023,home,436,0.23397189078114614,1.0,30.641124368754156,3.7,815.0,1305.9298102350274,5160.0,0.013553100058347901
859,2010004607,2010000158,home,120,0.2963271306445153,0.4048604639778487,4.341333333333334,3.7,820.0,1264.9677169696447,900.0,0.013553100058347901
3251,2013011258,2013000423,home,578,0.39201982499513854,0.45985315832847184,2.7133333333333334,3.7,820.0,1194.432561428645,870.0,0.013553100058347901
2203,2009134508,2009004742,home,388,0.11875,0.12553333333333333,0.27133333333333337,3.7,820.0,1395.859950859951,825.0,0.013553100058347901
2246,2016027233,2016001046,home,394,0.11875,0.27476666666666666,6.240666666666667,3.7,825.0,1400.859950859951,940.0,0.013553100058347901
914,2010176581,2010006309,home,137,0.28303238767989775,1.0,28.678704492804094,3.7,825.0,1279.767281808429,1905.0,0.013553100058347901
253,2002133731,2002005055,home,29,0.119,0.9990651214705626,35.202604858822504,3.7,826.0,1401.6756756756756,1739.0,0.013553100058347901
1670,2006297146,2006010467,home,286,0.5512204828357999,1.0,17.951180686568,3.7,830.0,1087.085639187371,2230.0,0.013553100058347901
958,2016165107,2016006417,home,150,0.31150545806369656,0.31150545806369656,0.0,3.7,840.0,1273.77976064101,840.0,0.013553100058347901
1769,2016054896,2016002084,home,308,0.6400234041639407,1.0,14.399063833442373,3.7,840.0,1031.6289404196998,1980.0,0.013553100058347901
1793,2010005934,2010000200,home,316,0.585511033869495,1.0,16.5795586452202,3.7,840.0,1071.810048744844,2280.0,0.013553100058347901
